ID,Movie Names,Year,Genere,Rating
345,Marvel Rising: Chasing Ghosts,2019,"Family, Animation, Action, Adventure",7
346,Joy Ride,2023,Comedy,7.3
347,World War Z,2013,"Action, Drama, Horror, Science Fiction, Thriller",6.8
348,Me Before You,2016,"Drama, Romance",7.9
349,Captain America: Civil War,2016,"Adventure, Action, Science Fiction",7.4
350,Polite Society,2023,"Action, Comedy, Drama",6.6
351,Top Gun,1986,"Romance, Drama, Action",7
352,The Croods: A New Age,2020,"Animation, Family, Adventure, Fantasy, Comedy",7.5
353,The School for Good and Evil,2022,Fantasy,7.1
354,Black Widow,2021,"Action, Adventure, Science Fiction",7.3
355,Iron Man 3,2013,"Action, Adventure, Science Fiction",6.9
356,Orphan: First Kill,2022,"Horror, Thriller",6.7
357,Furious 7,2015,"Action, Thriller, Crime",7.2
358,The Lion King,2019,"Adventure, Drama, Family, Animation",7.1
359,Mean Girls,2004,Comedy,7.2
360,Justice League,2017,"Action, Adventure, Science Fiction",6.1
361,Disenchanted,2022,"Comedy, Family, Fantasy",6.9
362,The Princess and the Frog,2009,"Romance, Family, Animation",7.2
363,Cinderella,2015,"Romance, Fantasy, Family, Drama",6.8
364,Clifford the Big Red Dog,2021,"Family, Adventure, Comedy, Fantasy",7.2
365,The Bad Guys,2022,"Animation, Action, Adventure, Crime, Comedy, Family",7.6
366,Terminator 2: Judgment Day,1991,"Action, Thriller, Science Fiction",8.1
367,Doctor Strange,2016,"Action, Adventure, Fantasy",7.4
368,Moonfall,2022,"Science Fiction, Adventure, Action",6.4
369,Ted 2,2015,"Comedy, Fantasy",6.3
370,Jurassic World,2015,"Action, Adventure, Science Fiction, Thriller",6.7
371,John Wick,2014,"Action, Thriller",7.4
372,Hercules,1997,"Animation, Family, Fantasy, Adventure, Comedy, Romance",7.5
373,"Big Mommas: Like Father, Like Son",2011,"Crime, Comedy, Action",5.5
374,Chupa,2023,"Adventure, Fantasy, Family",6.5
375,Die Hart,2023,"Action, Comedy, Thriller",6
376,Wrong Turn 3: Left for Dead,2009,"Horror, Thriller",5.6
377,Spirit: Stallion of the Cimarron,2002,"Western, Animation, Adventure, Comedy, Family, Drama",7.7
378,The Day of the Locust,1975,Drama,6.3
379,Wrong Turn 2: Dead End,2007,"Horror, Thriller",6
380,Lightyear,2022,"Animation, Action, Adventure, Family, Science Fiction",7.1
381,Joker,2019,"Crime, Thriller, Drama",8.2
382,Ice Age: Dawn of the Dinosaurs,2009,"Animation, Comedy, Family, Adventure",6.7
383,Marcel the Shell with Shoes On,2022,"Animation, Comedy, Drama, Family",7.7
384,Fight Club,1999,Drama,8.4
385,The Matrix Resurrections,2021,"Science Fiction, Action, Adventure",6.5
386,The Ledge,2022,"Thriller, Adventure",6.5
387,One True Loves,2023,"Romance, Drama, Comedy",6.4
388,The Requin,2022,"Thriller, Horror",5
389,The Blind Side,2009,Drama,7.7
390,The Hangover,2009,Comedy,7.3
391,Mission: Impossible - Rogue Nation,2015,"Action, Adventure",7.2
392,Grotesque,2022,"Horror, Comedy",3.6
393,Ghostbusters: Afterlife,2021,"Fantasy, Comedy, Adventure",7.5
394,Pulp Fiction,1994,"Thriller, Crime",8.5
395,Mission: Impossible - Ghost Protocol,2011,"Action, Thriller, Adventure",7.1
396,Blacklight,2022,"Action, Thriller",6.3
397,No Time to Die,2021,"Adventure, Action, Thriller",7.4
398,The Baker,2023,"Action, Drama, Crime, Thriller",0
399,Zootopia,2016,"Animation, Adventure, Family, Comedy",7.7
400,The Marksman,2021,Action,6.9
401,Toy Story 3,2010,"Animation, Family, Comedy",7.8
402,Thor,2011,"Adventure, Fantasy, Action",6.8
403,Soul,2020,"Animation, Family, Comedy, Fantasy, Drama",8.2
404,Two Sinners and a Mule,2023,"Western, Action",6.4
405,The Northman,2022,"Action, Adventure, Fantasy",7.1
406,Shrek Forever After,2010,"Comedy, Adventure, Fantasy, Animation, Family",6.3
407,The Haunted Mansion,2003,"Thriller, Fantasy, Comedy, Family, Mystery",5.6
408,Samaritan,2022,"Action, Crime, Fantasy, Science Fiction",6.8
409,A Go! Go! Cory Carson Halloween,2020,"Animation, Family, TV Movie",7
410,Grown Ups 2,2013,Comedy,6.1
411,Cars 3,2017,"Animation, Adventure, Comedy, Family",6.9
412,Toy Story 4,2019,"Family, Adventure, Animation, Comedy, Fantasy",7.5
413,The Notebook,2004,"Romance, Drama",7.9
414,Daughter of the Bride,2023,Comedy,6.8
415,Big Momma's House,2000,"Crime, Comedy",5.8
416,The Fate of the Furious,2017,"Action, Crime, Thriller",6.9
417,The Park,2023,"Action, Drama, Horror, Science Fiction, Thriller",6
418,Everything Everywhere All at Once,2022,"Action, Adventure, Science Fiction",7.8
419,Fool's Paradise,2023,Comedy,4.6
420,Malum,2023,Horror,6.1
421,Red Notice,2021,"Action, Comedy, Crime, Thriller",6.8
422,Shrek the Third,2007,"Fantasy, Adventure, Animation, Comedy, Family",6.3
423,Eight Legged Freaks,2002,"Action, Comedy, Horror, Thriller",5.8
424,Barbie: Princess Charm School,2011,"Family, Animation, Fantasy",7.4
425,Batman Begins,2005,"Action, Crime, Drama",7.7
426,Gladiator,2000,"Action, Drama, Adventure",8.2
427,F9,2021,"Action, Adventure, Crime",7.2
